Filename	TierName	Annotation	Duration_msec	Onset_sec	Offset_sec
NEWCARD_01alter	Trial	T148	3560.0	2004.700	2008.260
NEWCARD_01alter	Trial	T149	10940.0	2009.720	2020.660
NEWCARD_01alter	Trial	T150	4780.0	2027.120	2031.900
NEWCARD_01alter	Trial	T151	6260.0	2063.880	2070.140
NEWCARD_01alter	Trial	T152	13760.0	2074.900	2088.660
NEWCARD_01alter	Trial	T153	7120.0	2091.900	2099.020
NEWCARD_01alter	Trial	T154	17880.0	2099.960	2117.840
NEWCARD_01alter	Trial	T155	12940.0	2120.000	2132.940
NEWCARD_01alter	Trial	T156	12980.0	2167.120	2180.100
NEWCARD_01alter	Trial	T157	11300.0	2184.020	2195.320
NEWCARD_01alter	Trial	T158	8060.0	2195.380	2203.440
NEWCARD_01alter	Trial	T159	6120.0	2203.580	2209.700
NEWCARD_01alter	Trial	T160	2940.0	2211.980	2214.920
NEWCARD_01alter	Trial	T161	2920.0	2214.980	2217.900
NEWCARD_01alter	Trial	T162	5180.0	2218.040	2223.220
NEWCARD_01alter	Trial	T163	3880.0	2223.280	2227.160
NEWCARD_01alter	Trial	T164	3860.0	2231.640	2235.500
NEWCARD_01alter	Trial	T165	10680.0	2267.320	2278.000
NEWCARD_01alter	Trial	T166	17560.0	2280.000	2297.560
NEWCARD_01alter	Trial	T167	9100.0	2297.880	2306.980
NEWCARD_01alter	Trial	T168	6860.0	2307.840	2314.700
NEWCARD_01alter	Trial	T169	9460.0	2367.520	2376.980
NEWCARD_01alter	Trial	T170	10140.0	2378.780	2388.920
NEWCARD_01alter	Trial	T171	6300.0	2389.480	2395.780
NEWCARD_01alter	Trial	T172	3560.0	2398.500	2402.060
NEWCARD_01alter	Trial	T173	12100.0	2407.600	2419.700
NEWCARD_01alter	Trial	T174	6940.0	2419.740	2426.680
NEWCARD_01alter	Trial	T175	3680.0	2429.360	2433.040
NEWCARD_01alter	Trial	T176	3380.0	2433.100	2436.480
NEWCARD_01alter	Trial	T177	17520.0	2437.940	2455.460
NEWCARD_01alter	Trial	T178	2420.0	2455.480	2457.900
NEWCARD_01alter	Trial	T179	13480.0	2513.860	2527.340
NEWCARD_01alter	Trial	T180	12380.0	2527.820	2540.200
NEWCARD_01alter	Trial	T181	16760.0	2541.960	2558.720
NEWCARD_01alter	Trial	T182	6060.0	2559.980	2566.040
NEWCARD_01alter	Trial	T183	20160.0	2639.220	2659.380
